epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3049,1.43128,2.9218,0.99555,0.0417,0.9902,0.22913,0.12402,1.05585,3.12132,0.91647,0.00052,0.00052,0.00052
2,24.0998,1.27049,1.35804,0.9142,0.95882,0.90196,0.95567,0.57226,1.1353,1.64274,0.98162,0.001053,0.001053,0.001053
3,35.2639,1.32206,1.39738,0.94741,0.92464,0.86275,0.91416,0.42247,1.52022,1.51983,1.18287,0.00157888,0.00157888,0.00157888
4,52.0892,1.26627,1.20467,0.97178,0.92464,0.86275,0.91416,0.42247,1.52022,1.51983,1.18287,0.0019604,0.0019604,0.0019604
5,73.5961,1.29205,1.16658,0.95509,0.77284,0.66667,0.81017,0.39234,1.88126,3.0349,1.31992,0.0019472,0.0019472,0.0019472
6,93.3167,1.34187,7.30057,0.94307,0.1201,0.20588,0.09685,0.05415,2.23059,3.37553,1.46332,0.001934,0.001934,0.001934
7,116.545,1.42925,2.05746,0.97078,0.79347,0.52734,0.6963,0.46465,2.00309,3.1071,1.43031,0.0019208,0.0019208,0.0019208
8,142.119,1.38077,1.76418,0.96355,0.78373,0.88235,0.88067,0.57038,1.66785,2.79819,1.15357,0.0019076,0.0019076,0.0019076
9,167.735,1.31307,1.42739,0.97253,0.93389,0.83102,0.94293,0.54188,1.49238,1.69577,1.15314,0.0018944,0.0018944,0.0018944
10,187.64,1.44208,1.1998,1.00064,0.93389,0.83102,0.94293,0.54188,1.49238,1.69577,1.15314,0.0018812,0.0018812,0.0018812
11,207.925,1.2671,1.32728,0.97937,0.99687,0.79412,0.94514,0.56025,1.32408,1.66602,1.0816,0.001868,0.001868,0.001868
12,226.379,1.34159,1.32667,0.97791,0.98759,0.87255,0.95556,0.54658,1.4423,1.66505,1.1724,0.0018548,0.0018548,0.0018548
13,241.177,1.2905,2.61334,0.96617,0.97929,0.92716,0.98122,0.6113,1.27671,1.35735,1.06309,0.0018416,0.0018416,0.0018416
14,258.16,1.25464,1.03792,0.95105,0.98377,0.93137,0.9889,0.6252,1.20603,1.34179,1.01011,0.0018284,0.0018284,0.0018284
15,275.764,1.24646,1.14953,0.97427,0.96022,0.9465,0.97261,0.59147,1.27058,1.58355,1.03808,0.0018152,0.0018152,0.0018152
16,292.952,1.2451,1.51459,0.95452,0.95371,0.93137,0.96997,0.51776,1.44947,1.59885,1.12314,0.001802,0.001802,0.001802
17,310.362,1.27508,1.17895,0.96347,0.95371,0.93137,0.96997,0.51776,1.44947,1.59885,1.12314,0.0017888,0.0017888,0.0017888
18,328.479,1.23839,0.99748,0.95886,0.95337,0.89216,0.9653,0.52727,1.44313,1.63669,1.1004,0.0017756,0.0017756,0.0017756
19,345.83,1.18442,0.95729,0.91357,0.99907,0.91176,0.97556,0.60455,1.24775,1.46399,1.03166,0.0017624,0.0017624,0.0017624
20,363.581,1.14534,0.98232,0.93149,0.99679,0.92157,0.97657,0.63922,1.19929,1.43766,1.01763,0.0017492,0.0017492,0.0017492
21,380.892,1.22129,0.93585,0.9366,1,0.9109,0.97707,0.65456,1.22018,1.35698,1.03792,0.001736,0.001736,0.001736
22,398.014,1.22714,1.11024,0.94993,1,0.91173,0.96821,0.61599,1.30865,1.48161,1.06494,0.0017228,0.0017228,0.0017228
23,415.204,1.25439,0.91206,0.92271,1,0.91173,0.96821,0.61599,1.30865,1.48161,1.06494,0.0017096,0.0017096,0.0017096
24,433.11,1.12978,0.93971,0.92854,0.99527,0.91176,0.96773,0.6204,1.2908,1.58778,1.05229,0.0016964,0.0016964,0.0016964
25,450.798,1.15572,0.8727,0.91363,0.98936,0.91133,0.97589,0.62062,1.30362,1.5854,1.05688,0.0016832,0.0016832,0.0016832
26,467.847,1.16882,0.93875,0.93689,0.97688,0.91176,0.9819,0.63116,1.28841,1.43053,1.04269,0.00167,0.00167,0.00167
