epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1401,1.42996,2.87598,0.98029,0.04505,0.9902,0.2439,0.12596,1.01734,3.11812,0.89921,0.00052,0.00052,0.00052
2,26.0446,1.25362,1.31576,0.90446,0.94392,0.86275,0.93409,0.5741,1.66203,2.20035,1.1504,0.00085012,0.00085012,0.00085012
3,38.1031,1.27694,1.1336,0.92318,0.89221,0.91176,0.94646,0.55924,1.73301,1.72573,1.18381,0.0009664,0.0009664,0.0009664
4,54.2288,1.24417,1.11747,0.93857,0.89221,0.91176,0.94646,0.55924,1.73301,1.72573,1.18381,0.000812,0.000812,0.000812
5,72.8305,1.23611,1.08998,0.93734,0.87169,0.88235,0.92523,0.5644,1.70171,1.60249,1.13334,0.000416,0.000416,0.000416
