epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2085,1.30534,3.6285,0.95081,0.02385,0.91176,0.0423,0.02152,1.37326,3.51981,0.94205,0.0001,0.0001,0.0001
2,24.5312,1.25263,2.21771,0.90621,0.02564,0.98039,0.06566,0.0393,1.07087,3.24881,0.8828,0.000216889,0.000216889,0.000216889
3,37.5426,1.29943,1.15539,0.91035,0.02564,0.98039,0.83224,0.46313,1.19879,2.79287,0.9142,0.000330383,0.000330383,0.000330383
4,55.5255,1.19918,1.07976,0.89609,0.02564,0.98039,0.93321,0.57073,1.14762,2.53545,0.91973,0.000440483,0.000440483,0.000440483
5,73.3045,1.11194,0.96597,0.88523,0.0259,0.9902,0.84095,0.55183,1.10923,2.52705,0.90334,0.000547189,0.000547189,0.000547189
6,90.9084,1.04457,0.93767,0.8895,0.02615,1,0.93425,0.58529,1.17137,2.40454,0.92267,0.0006505,0.0006505,0.0006505
7,108.378,1.10305,0.97425,0.90355,1,0.67459,0.99324,0.65338,1.17149,1.98595,0.94711,0.000750417,0.000750417,0.000750417
8,126.414,1.08754,0.79038,0.8743,1,0.83145,0.99392,0.6713,1.12334,1.68792,0.95604,0.00084694,0.00084694,0.00084694
9,145.434,1.06707,0.84672,0.8817,1,0.86162,0.99392,0.63615,1.2021,1.71803,0.95514,0.000940069,0.000940069,0.000940069
10,163.752,1.10483,0.79333,0.88791,0.98916,0.89433,0.99392,0.63954,1.20088,1.70616,0.95914,0.0010298,0.0010298,0.0010298
11,183.581,1.10403,0.807,0.87537,0.98954,0.92723,0.99248,0.66205,1.12091,1.59893,0.95987,0.00111614,0.00111614,0.00111614
12,203.088,1.02631,0.75527,0.86834,0.98987,0.95796,0.98982,0.62436,1.2675,1.24149,0.98887,0.00119909,0.00119909,0.00119909
13,220.613,1.06258,0.85786,0.88444,0.74102,0.95378,0.87508,0.54365,1.23737,1.25646,0.97306,0.00127864,0.00127864,0.00127864
14,242.751,1.01511,0.83631,0.87844,0.95302,0.99443,0.96963,0.63041,1.15859,1.34813,0.9598,0.0013548,0.0013548,0.0013548
15,262.623,1.04574,0.76958,0.89262,0.9874,0.96078,0.9929,0.66728,1.11723,1.51975,0.9346,0.00142756,0.00142756,0.00142756
16,279.136,1.06626,0.78771,0.91138,0.98035,0.97843,0.99166,0.66403,1.1132,1.22891,0.93794,0.00149693,0.00149693,0.00149693
17,294.65,1.00132,0.76381,0.85885,0.98589,0.97059,0.99256,0.65846,1.15583,0.88335,0.95676,0.00154743,0.00154743,0.00154743
18,311.826,0.95843,0.68517,0.88241,0.97641,0.9902,0.993,0.6435,1.1655,0.85181,0.94677,0.00151914,0.00151914,0.00151914
19,329.328,1.06382,0.76993,0.90663,0.96031,0.9902,0.99169,0.67239,1.11186,0.89452,0.94534,0.00149086,0.00149086,0.00149086
20,348.68,1.08092,0.79491,0.86687,0.95726,0.9902,0.98982,0.70165,1.02862,1.00737,0.93958,0.00146257,0.00146257,0.00146257
21,365.891,1.0825,0.72794,0.89012,0.9543,0.9902,0.99028,0.7133,1.02395,1.09729,0.93449,0.00143429,0.00143429,0.00143429
22,383.042,1.05002,0.70673,0.87252,0.98236,0.9902,0.99441,0.66702,1.12901,0.96851,0.94482,0.001406,0.001406,0.001406
23,399.745,1.00687,0.75542,0.87911,0.98041,0.98112,0.99451,0.64221,1.13902,0.8426,0.94811,0.00137771,0.00137771,0.00137771
24,415.32,1.0331,0.77656,0.88195,0.98162,0.98039,0.99461,0.68251,1.07736,0.82575,0.9364,0.00134943,0.00134943,0.00134943
25,432.554,1.00176,0.66201,0.86913,0.99551,0.9902,0.995,0.68715,1.06664,0.71803,0.93,0.00132114,0.00132114,0.00132114
26,450.514,1.01581,0.6746,0.88231,0.98631,0.9902,0.99461,0.67905,1.09508,0.66296,0.93656,0.00129286,0.00129286,0.00129286
27,468.894,0.96772,0.63727,0.8804,0.99019,0.98935,0.99471,0.64518,1.17251,0.67529,0.94778,0.00126457,0.00126457,0.00126457
28,487.142,0.93796,0.63159,0.84808,0.98952,1,0.99451,0.64785,1.17603,0.67821,0.95641,0.00123629,0.00123629,0.00123629
29,512.309,0.97913,0.62633,0.88606,0.98719,1,0.99451,0.65458,1.13845,0.67791,0.94735,0.001208,0.001208,0.001208
30,529.723,0.93816,0.62778,0.85864,0.98885,1,0.99422,0.66753,1.11262,0.64751,0.94013,0.00117971,0.00117971,0.00117971
31,547.801,0.914,0.60979,0.88441,0.97589,1,0.98665,0.65998,1.11439,0.65787,0.94182,0.00115143,0.00115143,0.00115143
32,568.162,0.95389,0.65085,0.86592,0.95227,0.97809,0.98665,0.63035,1.20428,0.68013,0.95736,0.00112314,0.00112314,0.00112314
33,588.33,0.90302,0.68372,0.8505,0.96875,0.98039,0.99208,0.63257,1.20479,0.70063,0.96176,0.00109486,0.00109486,0.00109486
34,608.522,0.89495,0.58595,0.85304,0.97813,0.98039,0.9918,0.67632,1.10214,0.64126,0.93932,0.00106657,0.00106657,0.00106657
35,629.08,0.9284,0.64214,0.85931,0.98981,0.98039,0.99432,0.66152,1.12688,0.65101,0.94632,0.00103829,0.00103829,0.00103829
36,651.263,0.93784,0.5992,0.87576,0.98669,0.98039,0.99451,0.69496,1.09319,0.65825,0.93909,0.00101,0.00101,0.00101
37,671.438,0.93764,0.61027,0.85727,0.99687,0.98039,0.99462,0.67545,1.13744,0.6437,0.95377,0.000981714,0.000981714,0.000981714
38,687.893,0.91137,0.60812,0.88072,0.98932,0.98039,0.99461,0.64199,1.18847,0.65915,0.97331,0.000953429,0.000953429,0.000953429
39,703.411,0.95132,0.74457,0.86602,0.98069,0.996,0.99372,0.64601,1.19484,0.65983,0.95429,0.000925143,0.000925143,0.000925143
40,721.595,0.93425,0.57581,0.86351,0.97844,1,0.99303,0.64473,1.19845,0.63708,0.95365,0.000896857,0.000896857,0.000896857
41,739.592,0.9228,0.6121,0.86117,0.97625,1,0.99481,0.66413,1.14432,0.6143,0.94569,0.000868571,0.000868571,0.000868571
42,758.37,0.91943,0.57957,0.86207,0.99599,0.98039,0.99481,0.67419,1.12922,0.59937,0.94471,0.000840286,0.000840286,0.000840286
43,776.458,0.96516,0.59475,0.87357,0.99674,0.98039,0.99481,0.66212,1.15526,0.61323,0.94679,0.000812,0.000812,0.000812
44,794.336,0.95479,0.61349,0.8857,0.99602,0.98039,0.9949,0.66756,1.15292,0.61364,0.94436,0.000783714,0.000783714,0.000783714
45,812.88,0.92719,0.61498,0.84634,1,0.98599,0.995,0.69104,1.10434,0.60875,0.93549,0.000755429,0.000755429,0.000755429
46,836.258,0.92893,0.63898,0.87651,0.99025,0.99575,0.995,0.69352,1.07806,0.60926,0.92867,0.000727143,0.000727143,0.000727143
47,854.462,0.85799,0.55484,0.86767,0.99669,1,0.995,0.69496,1.0815,0.62811,0.92473,0.000698857,0.000698857,0.000698857
48,873.35,0.89416,0.61983,0.86559,0.99821,1,0.995,0.68986,1.07555,0.64678,0.92196,0.000670571,0.000670571,0.000670571
49,895.922,0.83608,0.57061,0.84488,0.99038,1,0.995,0.69807,1.05027,0.64002,0.91615,0.000642286,0.000642286,0.000642286
50,918.042,0.85778,0.59026,0.8752,0.99027,0.99732,0.99461,0.68567,1.08357,0.63588,0.92104,0.000614,0.000614,0.000614
51,939.441,0.87973,0.56838,0.86975,0.98073,0.99783,0.99255,0.67398,1.09137,0.63154,0.9231,0.000585714,0.000585714,0.000585714
52,960.905,0.90864,0.57016,0.85702,0.99018,0.98826,0.99049,0.66305,1.11988,0.62608,0.92864,0.000557429,0.000557429,0.000557429
53,986.332,0.81788,0.57999,0.83787,0.97186,1,0.98996,0.64834,1.14435,0.62574,0.92964,0.000529143,0.000529143,0.000529143
54,1007.49,0.84624,0.5977,0.85848,0.9778,1,0.98857,0.63366,1.17974,0.63185,0.93552,0.000500857,0.000500857,0.000500857
55,1024.04,0.84681,0.5515,0.84838,0.97863,1,0.98784,0.6354,1.18478,0.64586,0.93999,0.000472571,0.000472571,0.000472571
56,1041.22,0.88605,0.55654,0.84618,0.95855,1,0.97612,0.64044,1.16389,0.65298,0.94181,0.000444286,0.000444286,0.000444286
57,1060.22,0.85553,0.55522,0.83903,0.9583,1,0.97783,0.64311,1.13049,0.6305,0.94422,0.000416,0.000416,0.000416
58,1082.6,0.86966,0.55928,0.85153,0.96807,1,0.98449,0.65169,1.12146,0.6042,0.94426,0.000387714,0.000387714,0.000387714
59,1102.42,0.88079,0.59116,0.83863,0.96821,0.9902,0.99142,0.65602,1.13902,0.59308,0.94489,0.000359429,0.000359429,0.000359429
60,1120.8,0.83462,0.51648,0.82986,0.98572,0.9902,0.99451,0.65907,1.17008,0.59601,0.94456,0.000331143,0.000331143,0.000331143
61,1139.3,0.86005,0.82365,0.86581,0.99012,0.98263,0.9948,0.65491,1.18048,0.59687,0.94512,0.000302857,0.000302857,0.000302857
62,1156.72,0.86642,0.56688,0.86807,0.98897,0.9902,0.995,0.65974,1.17798,0.60082,0.94209,0.000274571,0.000274571,0.000274571
63,1171.61,0.88009,0.61312,0.88797,0.98875,0.9902,0.995,0.66202,1.16325,0.60468,0.9396,0.000246286,0.000246286,0.000246286
64,1188.95,0.84803,0.63183,0.8486,0.98055,0.9902,0.995,0.67028,1.13779,0.6136,0.93649,0.000218,0.000218,0.000218
65,1207.2,0.86498,0.60558,0.86133,0.98097,0.9902,0.995,0.67283,1.1258,0.61877,0.93407,0.000189714,0.000189714,0.000189714
66,1226.05,0.85368,0.61204,0.85897,0.99299,0.9902,0.995,0.67203,1.13242,0.6064,0.93316,0.000161429,0.000161429,0.000161429
67,1241.93,0.84196,0.57891,0.8552,1,0.98727,0.995,0.66394,1.15417,0.60389,0.93676,0.000133143,0.000133143,0.000133143
68,1260.13,0.8682,0.58573,0.85486,0.99012,0.98277,0.9949,0.64965,1.18305,0.60593,0.94366,0.000104857,0.000104857,0.000104857
69,1279.53,0.83274,0.58852,0.84833,0.99014,0.98421,0.9949,0.63912,1.19973,0.611,0.94725,7.65714e-05,7.65714e-05,7.65714e-05
70,1299.16,0.84759,0.5591,0.8656,0.99017,0.98749,0.9949,0.64685,1.20233,0.60989,0.94747,4.82857e-05,4.82857e-05,4.82857e-05
