epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.366,1.34947,2.27112,0.91629,0.18578,0.91011,0.63705,0.24649,1.18354,2.62491,0.86429,0.000651852,0.000651852,0.000651852
2,36.437,1.2243,1.50772,0.90392,0.76638,0.82933,0.85472,0.51778,1.22425,1.92752,0.88209,0.00105745,0.00105745,0.00105745
3,62.3383,1.26392,1.49084,0.89751,0.75848,0.92697,0.8296,0.57025,1.13992,1.77145,0.87097,0.00119905,0.00119905,0.00119905
4,89.3084,1.18646,1.20829,0.89999,0.73898,0.98315,0.77523,0.51791,1.2434,1.71998,0.89951,0.000812,0.000812,0.000812
5,116.058,1.20379,1.14455,0.9037,0.74217,0.98646,0.77763,0.52097,1.24633,1.74571,0.89977,0.000416,0.000416,0.000416
