epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,188.738,0.6585,1.00713,0.87305,1,0.83399,0.995,0.81911,0.7642,2.82834,0.9397,0.0006902,0.0006902,0.0006902
44,193.503,0.61535,0.98234,0.87198,0.90602,1,0.995,0.84111,0.74994,2.6585,0.99487,0.000681831,0.000681831,0.000681831
45,198.595,0.62553,1.25297,0.8809,0.90602,1,0.995,0.84111,0.74994,2.6585,0.99487,0.000672331,0.000672331,0.000672331
46,203.099,0.58524,1.12459,0.86196,0.90602,1,0.995,0.84111,0.74994,2.6585,0.99487,0.0006617,0.0006617,0.0006617
47,207.761,0.58523,1.03748,0.8428,0.88418,1,0.995,0.81911,0.75841,2.60048,0.96262,0.000649937,0.000649937,0.000649937
48,212.849,0.65876,1.2362,0.93929,0.88418,1,0.995,0.81911,0.75841,2.60048,0.96262,0.000637043,0.000637043,0.000637043
49,217.43,0.72835,1.05301,0.90859,0.88418,1,0.995,0.81911,0.75841,2.60048,0.96262,0.000623017,0.000623017,0.000623017
50,222.216,0.71506,1.27394,0.94275,0.95427,1,0.995,0.86307,0.759,2.30254,0.96608,0.00060786,0.00060786,0.00060786
51,227.047,0.53129,1.32221,0.87437,0.95427,1,0.995,0.86307,0.759,2.30254,0.96608,0.000585714,0.000585714,0.000585714
52,231.599,0.43298,1.09082,0.76585,0.95427,1,0.995,0.86307,0.759,2.30254,0.96608,0.000557429,0.000557429,0.000557429
53,236.205,0.56593,0.88489,0.88091,0.98945,1,0.995,0.86307,0.81007,1.9017,0.96258,0.000529143,0.000529143,0.000529143
54,240.832,0.68704,0.96946,0.9721,0.98945,1,0.995,0.86307,0.81007,1.9017,0.96258,0.000500857,0.000500857,0.000500857
55,245.499,0.57774,0.77741,0.85843,0.98945,1,0.995,0.86307,0.81007,1.9017,0.96258,0.000472571,0.000472571,0.000472571
56,250.348,0.53183,1.19366,0.84269,0.99299,1,0.995,0.86307,0.7431,1.60908,0.94406,0.000444286,0.000444286,0.000444286
57,255.202,0.42934,0.90499,0.85053,0.99299,1,0.995,0.86307,0.7431,1.60908,0.94406,0.000416,0.000416,0.000416
58,259.932,0.44391,0.91202,0.8393,0.99299,1,0.995,0.86307,0.7431,1.60908,0.94406,0.000387714,0.000387714,0.000387714
59,264.455,0.48972,0.925,0.78915,0.99234,1,0.995,0.86307,0.68134,1.54303,0.92866,0.000359429,0.000359429,0.000359429
60,269.293,0.59114,0.92819,0.81487,0.99234,1,0.995,0.86307,0.68134,1.54303,0.92866,0.000331143,0.000331143,0.000331143
61,274.007,0.51543,1.38716,0.8546,0.99234,1,0.995,0.86307,0.68134,1.54303,0.92866,0.000302857,0.000302857,0.000302857
62,278.633,0.46383,1.17812,0.87965,0.99027,1,0.995,0.86307,0.6697,1.54026,0.92204,0.000274571,0.000274571,0.000274571
63,283.322,0.4915,1.25127,0.80594,0.99027,1,0.995,0.86307,0.6697,1.54026,0.92204,0.000246286,0.000246286,0.000246286
64,291.662,0.50603,1.27698,0.84176,0.99027,1,0.995,0.86307,0.6697,1.54026,0.92204,0.000218,0.000218,0.000218
65,297.278,0.44149,1.17509,0.86634,0.98942,1,0.995,0.86307,0.6709,1.56036,0.91913,0.000189714,0.000189714,0.000189714
66,302.529,0.54468,1.40507,0.87498,0.98942,1,0.995,0.86307,0.6709,1.56036,0.91913,0.000161429,0.000161429,0.000161429
67,307.443,0.45321,1.36036,0.82584,0.98942,1,0.995,0.86307,0.6709,1.56036,0.91913,0.000133143,0.000133143,0.000133143
68,312.437,0.48569,1.24881,0.76797,0.9882,1,0.995,0.86307,0.66913,1.51348,0.91737,0.000104857,0.000104857,0.000104857
69,317.673,0.42482,1.22642,0.86068,0.9882,1,0.995,0.86307,0.66913,1.51348,0.91737,7.65714e-05,7.65714e-05,7.65714e-05
70,322.993,0.41795,1.36056,0.76179,0.9882,1,0.995,0.86307,0.66913,1.51348,0.91737,4.82857e-05,4.82857e-05,4.82857e-05
