epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1585,1.41794,2.93955,0.99411,0.04124,0.9902,0.26773,0.17766,1.0055,3.11092,0.90594,0.00052,0.00052,0.00052
2,62.6477,1.24727,2.96481,0.95355,1,0.34981,0.88915,0.46398,1.1907,2.47225,0.97699,0.00095506,0.00095506,0.00095506
3,82.6423,1.38425,2.3237,0.97261,0.70512,0.32826,0.56816,0.31195,1.22096,2.53793,0.98823,0.0012832,0.0012832,0.0012832
4,102.413,1.31183,1.87152,1.00656,0.70512,0.32826,0.56816,0.31195,1.22096,2.53793,0.98823,0.001406,0.001406,0.001406
5,121.328,1.34061,1.67595,0.97677,0.859,0.59804,0.89347,0.48783,1.4113,1.84315,1.10645,0.001208,0.001208,0.001208
6,140.316,1.24645,1.50213,0.98065,0.98743,0.90196,0.97724,0.63242,1.19695,1.49751,1.01893,0.00101,0.00101,0.00101
7,158.852,1.2564,1.8302,0.99527,0.93097,0.87255,0.96368,0.63422,1.11328,1.64105,0.99456,0.000812,0.000812,0.000812
8,177.191,1.24701,1.63263,0.94575,0.87273,0.87399,0.94785,0.58457,1.22853,1.59287,1.0477,0.000614,0.000614,0.000614
9,195.993,1.28706,1.39825,0.98558,0.91512,0.84559,0.94582,0.55792,1.25149,1.79744,1.08152,0.000416,0.000416,0.000416
10,214.364,1.30527,1.39966,0.93638,0.91512,0.84559,0.94582,0.55792,1.25149,1.79744,1.08152,0.000218,0.000218,0.000218
